workerid,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3M1CVSFP605JMG18LJMCOW21NGGQAN,0,Approved,Tue May 30 01:54:45 PDT 2017,Mon May 29 09:10:56 PDT 2017,Mon May 29 09:14:45 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,3.73925,[]
1,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3300DTYQT2HMCTIK1OOYKFSS8VEQEI,1,Approved,Tue May 30 01:57:11 PDT 2017,Mon May 29 09:11:05 PDT 2017,Mon May 29 09:17:11 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,6.034983333333333,[]
2,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,33M4IA01QG1VUUO1983QDUN4KNRXRZ,2,Approved,Tue May 30 01:57:32 PDT 2017,Mon May 29 09:11:04 PDT 2017,Mon May 29 09:17:32 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,6.25495,[]
3,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3QAPZX2QN4D6TK15R6ZI38SLYOR02T,3,Approved,Tue May 30 01:57:43 PDT 2017,Mon May 29 09:10:58 PDT 2017,Mon May 29 09:17:43 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,6.032,[]
4,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3YHH42UU5BFCU6ND1CHNI4RU4OHL02,4,Approved,Tue May 30 01:58:44 PDT 2017,Mon May 29 09:11:01 PDT 2017,Mon May 29 09:18:44 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,7.62125,[]
5,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3II4UPYCOJ7HKN4K5TDEEXA78JDQDP,5,Approved,Tue May 30 01:58:53 PDT 2017,Mon May 29 09:11:01 PDT 2017,Mon May 29 09:18:53 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,7.7953833333333336,[]
6,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3P529IW9KYL3RA234U08LBEYAQ6FL0,6,Approved,Tue May 30 01:59:08 PDT 2017,Mon May 29 09:11:00 PDT 2017,Mon May 29 09:19:08 PDT 2017,Mon May 29 09:21:20 PDT 2017,,,,,3,7.957466666666667,[]
7,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3PM8NZGV8YGVIT91WTEQ84DZO1PXQY,7,Approved,Tue May 30 01:59:28 PDT 2017,Mon May 29 09:11:00 PDT 2017,Mon May 29 09:19:28 PDT 2017,Mon May 29 09:23:18 PDT 2017,,,,,3,8.3815,[]
8,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3F1567XTNW55HXR3TD8CS1RHHYYQ98,8,Approved,Tue May 30 01:59:55 PDT 2017,Mon May 29 09:10:55 PDT 2017,Mon May 29 09:19:55 PDT 2017,Mon May 29 09:23:19 PDT 2017,,,,,3,6.41345,[]
9,31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3UWUAQCPMGPZPGPXOVUFSCU0UVR5C6,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Mon May 29 09:04:23 PDT 2017,32,0,0,32,Reviewable,NotReviewed,1 cond3,1800,60000,Wed Jun 28 09:04:23 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=31MBOZ6PAORT1EK0NQ56OLX97TWLCS,3634BBTX0OU119UXJR3VTVM6TMCIFP,9,Approved,Tue May 30 02:00:13 PDT 2017,Mon May 29 09:10:59 PDT 2017,Mon May 29 09:20:13 PDT 2017,Mon May 29 09:23:19 PDT 2017,,,,,3,6.56665,[]
