workerid,trial_type,modifier2,noun,modifier1,stimulus,train,modifier,response,other_languages,language,problems,comments,asses,fairprice,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.condition,Answer.time_in_minutes,Answer.catch_trials
0,num,NA,cars,NA,nine cars,NA,nine,cars nine,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
0,num,NA,hats,NA,two hats,NA,two,hats two,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
0,adj,NA,hat,NA,purple hat,NA,purple,hat purple,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
0,adj,NA,banana,NA,stone banana,NA,stone,banana stone,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
0,adj,NA,bowl,NA,stone bowl,NA,stone,bowl stone,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
0,num,NA,darts,NA,four darts,NA,four,darts four,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
0,adj,NA,box,NA,blue box,NA,blue,box blue,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
0,adj,NA,key,NA,striped key,NA,striped,key striped,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
0,num,NA,pineapple,NA,one pineapple,NA,one,pineapple one,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
0,adj,NA,pig,NA,wooden pig,NA,wooden,pig wooden,,english,no issues,great hit,Yes,1.65,Windows,1080,1920,Chrome,3APP19WN71EOZ5XY28VNPT0RFIBG6L,32TFGTUJLO3UVTTG0KZF1LXCY0BPID,Language Learning Experiment,"In this experiment, you will first hear 30 phrases in an artificial language. This language uses the same as words as English but nevertheless, slightly differs from English. After hearing these translations, you will be asked to provide 50 translations to short phrases. The HIT should take ~10 minutes.",language research stanford fun cognitive science university explanations,$1.65,Thu May 18 09:20:34 PDT 2017,30,0,0,30,Reviewable,NotReviewed,1 cond1,1800,60000,Sat Jun 17 09:20:34 PDT 2017,https://requester.mturk.com/mturk/manageHIT?HITId=3APP19WN71EOZ5XY28VNPT0RFIBG6L,308XBLVESI4OHRL04CB8OXWC0RZRBT,0,Approved,Fri May 19 02:06:45 PDT 2017,Thu May 18 09:22:03 PDT 2017,Thu May 18 09:26:45 PDT 2017,Thu May 18 09:30:27 PDT 2017,,,,,1,4.6608,[]
