workerid,OS,screenH,screenW,Browser
0,Mac,1080,1920,Chrome
1,Windows,1080,1920,Chrome
2,Windows,1005,1787,Firefox
3,Windows,1080,1920,Chrome
4,Windows,858,1525,Firefox
5,Windows,1080,1920,Chrome
6,Windows,768,1366,Chrome
7,Windows,1080,1920,Firefox
8,Windows,900,1440,Chrome
9,Windows,768,1366,Chrome
10,Windows,704,1247,Firefox
11,Windows,1080,1920,Chrome
12,Windows,1080,1920,Chrome
13,Windows,1024,1280,Chrome
14,Windows,750,1000,Firefox
15,Windows,1080,1920,Chrome
16,Windows,1080,1920,Chrome
17,Windows,768,1366,Chrome
18,Windows,900,1600,Chrome
19,Windows,768,1360,Chrome
20,Windows,768,1366,Chrome
21,Windows,900,1600,Chrome
22,Windows,768,960,Firefox
23,Windows,900,1600,Chrome
24,Windows,1080,1920,Chrome
25,Windows,768,1366,Chrome
26,Windows,1080,1920,Chrome
27,Windows,1080,1920,Chrome
28,Windows,900,1600,Chrome
29,Windows,768,1366,Chrome
30,Windows,720,1280,Chrome
31,Linux,768,1366,Chrome
